groupKey	totalCount	observedTerms	suggestedSynonyms	sources
synonym:コントロール	19	control(12,english); 制御(7,japanese)	コントロール	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:10; Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/tasks-status.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Tracker.DebugHost/README.md:1; Tracker/Design/Archive/Core/phases-status.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1
synonym:デスクリプション	18	説明(16,japanese); 記述(2,japanese)	description | デスクリプション	Tracker/Design/DebugHost/debug-host-maintainability-design.md:3; Tracker/Design/tasks-status.md:3; Tracker/Design/Core/tracker-core-engine-detail-design.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; tools/lint/README.md:2; Tracker/Design/Archive/DebugHost/tasks-status.md:1; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
synonym:リポート	18	report(10,english); 報告書(5,japanese); レポート(3,katakana)	リポート | レポ | 復命書	Tracker/Design/Core/tracker-history-000-038.md:5; feedback-points/feedback-points.md:3; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2; Tracker/Tracker.DebugHost/README.md:2; tools/lint/README.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1
synonym:ジョブ	17	タスク(11,katakana); task(6,english)	job | ジョブ	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:8; Tracker/Design/Core/tracker-history-000-038.md:5; Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
synonym:フリークエンシー	17	頻度(11,japanese); 回数(4,japanese); frequency(2,english)	フリークエンシー | 度数	Tracker/Design/Core/tracker-architecture-plan.md:7; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/tasks-status.md:2; tools/lint/README.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Tracker.DebugHost/README.md:1; feedback-points/feedback-points.md:1
synonym:リユース	17	再利用(16,japanese); reuse(1,english)	リユース	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:5; Tracker/Design/Core/tracker-architecture-plan.md:4; Tracker/Design/tasks-status.md:3; AGENTS.md:2; README.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
synonym:リーズン	17	reason(6,english); 経過(6,japanese); 理由(5,japanese)	いきさつ | リーズン | 事情 | 事由 | 経緯 | 訳	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:6; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:5; Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Tracker.DebugHost/README.md:2; tools/lint/README.md:1
synonym:ローカル	17	local(16,english); ローカル(1,katakana)	現地	Tracker/Design/Core/tracker-architecture-plan.md:6; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Tracker.DebugHost/README.md:3; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
synonym:オート	16	自動(15,japanese); auto(1,english)	automatic | オート | オートマ | オートマチック | オートマティック | 勝手に | 自動的	Tracker/Tracker.DebugHost/README.md:5; Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; Tracker/Tracker.CaptureReplay/README.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Design/phases-status.md:1; Tracker/Design/tasks-status.md:1
synonym:コード	16	code(15,english); コード(1,katakana)		Tracker/Design/Core/tracker-test-maintainability-detail-design.md:4; Tracker/Design/DebugHost/debug-host-maintainability-design.md:4; Tracker/Tracker.DebugHost/README.md:3; Tracker/Design/RuntimeHost/runtime-host-plan.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Tracker.CaptureReplay/README.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1
synonym:ノイズ	16	noise(14,english); ノイズ(2,katakana)	雑音 | 騒音	Tracker/Design/Core/tracker-architecture-plan.md:11; Tracker/Tracker.DebugHost/README.md:3; Tracker/Design/Core/tracker-core-engine-detail-design.md:2
synonym:マニュアル	16	手動(12,japanese); manual(4,english)	マニュアル	Tracker/Design/tasks-status.md:4; Tracker/Tracker.DebugHost/README.md:4; Tracker/Design/Archive/Core/tasks-status.md:3; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; Tracker/Design/Archive/Core/phases-status.md:1; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
synonym:スレッショルド	15	threshold(6,english); 閾値(6,japanese); 閾値(3,japanese)	スレッショルド	Tracker/Design/Core/tracker-architecture-plan.md:10; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2; Tracker/Tracker.DebugHost/README.md:2; Tracker/Design/Core/tracker-core-engine-detail-design.md:1
synonym:デフォルト値	15	既定値(11,japanese); 初期値(4,japanese)	デフォルト値 | デフォ値	Tracker/Design/Core/tracker-architecture-plan.md:5; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:3; Tracker/Design/RuntimeHost/runtime-host-plan.md:3; Tracker/Design/Core/tracker-core-engine-detail-design.md:2; Tracker/Tracker.DebugHost/README.md:2
synonym:リアルタイム	15	同時(13,japanese); 即時(2,japanese)	real time | リアルタイム | リアル・タイム	Tracker/Design/Core/tracker-architecture-plan.md:5; Tracker/Design/Archive/DebugHost/tasks-status.md:4; Tracker/Tracker.DebugHost/README.md:3; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
synonym:レベル	15	段階(14,japanese); レベル(1,katakana)	level | レヴェル	Tracker/Design/phases-status.md:5; Tracker/Design/tasks-status.md:5; Tracker/Design/Core/tracker-architecture-plan.md:4; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
synonym:支度	15	準備(14,japanese); 用意(1,japanese)	支度	Tracker/Design/Archive/DebugHost/tasks-status.md:6; Tracker/Design/Archive/Core/tasks-status.md:2; Tracker/Design/Archive/DebugHost/phases-status.md:2; Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/Archive/Core/phases-status.md:1; Tracker/Design/phases-status.md:1; tools/lint/README.md:1
synonym:えり抜き	13	selection(9,english); 選定(4,japanese)	えりぬき | えり抜き | よりぬき | より抜き | セレクション | 粒ぞろい | 粒より | 粒揃い | 粒選り | 選りぬき | 選り抜き | 選抜	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:7; Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
synonym:イシュー	13	問題(9,japanese); 課題(3,japanese); Issue(1,english)	イシュー	Tracker/Design/Archive/Core/tasks-status.md:3; Tracker/Design/Archive/DebugHost/tasks-status.md:3; Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Tracker.DebugHost/README.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
synonym:クォリティ	13	品質(9,japanese); quality(4,english)	クォリティ | クォリティー | クオリティ | クオリティー	Tracker/Design/Core/tracker-architecture-plan.md:9; Tracker/Design/phases-status.md:1; tools/lint/README.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/Core/tracker-history-000-038.md:1
synonym:ディレイ	13	遅延(12,japanese); 遅れ(1,japanese)	delay | ディレイ | ディレー | 延滞 | 遅滞	Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/tasks-status.md:3; Tracker/Design/phases-status.md:2; Tracker/Tracker.CaptureReplay/README.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Tracker.DebugHost/README.md:1
synonym:ビルド	13	build(12,english); ビルド(1,katakana)		Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:4; Tracker/Design/Core/tracker-history-000-038.md:3; tools/lint/README.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Tracker.DebugHost/README.md:1; README.md:1
synonym:メカ	13	構造(12,japanese); 仕組み(1,japanese)	mechanism | メカ | メカニズム | 機構	Tracker/Design/Core/tracker-architecture-plan.md:6; Tracker/Design/tasks-status.md:3; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; tools/lint/README.md:1
synonym:使用	13	運用(9,japanese); 利用(4,japanese)	使用 | 活用	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:5; Tracker/Design/Archive/Core/tasks-status.md:2; Tracker/Tracker.DebugHost/README.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Tracker.CaptureReplay/README.md:1
synonym:承継	13	継続(12,japanese); 継承(1,japanese)	承継	Tracker/Design/Core/tracker-core-engine-detail-design.md:6; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/tasks-status.md:1; Tracker/Tracker.DebugHost/README.md:1; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1
synonym:イエロー	12	yellow(10,english); 黄色(2,japanese)	イエロー | 黄	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:7; Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Tracker.DebugHost/README.md:1
synonym:インタフェイス	12	interface(11,english); インターフェース(1,katakana)	インタフェイス | インタフェース | インターフェイス	Tracker/Design/DebugHost/raw-vision-viewer-plan.md:3; Tracker/Tracker.DebugHost/README.md:3; Tracker/Design/Core/tracker-core-engine-detail-design.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Design/Core/tracker-architecture-plan.md:1
synonym:ゲート	12	gate(11,english); ゲート(1,katakana)	出入り口 | 門	Tracker/Design/Core/tracker-architecture-plan.md:9; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1
synonym:ディクショナリ	12	辞書(11,japanese); dictionary(1,english)	ディクショナリ | ディクショナリー | 字引 | 辞典	tools/lint/README.md:7; Tracker/Design/tasks-status.md:3; Tracker/Design/phases-status.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
synonym:アダプテーション	11	該当(7,japanese); 適合(4,japanese)	adaptation | アダプテーション | 即応 | 適応 | 順応	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:4; Tracker/Design/tasks-status.md:4; AGENTS.md:1; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1
synonym:インストラクション	11	指示(8,japanese); 命令(3,japanese)	instruction | インストラクション | 指令 | 指図	feedback-points/feedback-points.md:7; AGENTS.md:1; Tracker/Design/phases-status.md:1; Tracker/Design/tasks-status.md:1; tools/lint/README.md:1
synonym:コンパクト	11	compact(10,english); 小型(1,japanese)	mini | petit | コンパクト | プチ | ミニ | ミニサイズ | 小ぶり | 小サイズ | 小作り | 小振り	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:7; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Tracker.DebugHost/README.md:1; Tracker/Design/Archive/DebugHost/tasks-status.md:1
synonym:判別	11	識別(8,japanese); 判別(3,japanese)	弁別	Tracker/Design/Core/tracker-architecture-plan.md:4; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:3; Tracker/Tracker.DebugHost/README.md:1
synonym:ネット	10	NET(6,english); network(3,english); ネットワーク(1,katakana)	ネット	tools/lint/README.md:2; Tracker/Design/Core/tracker-history-000-038.md:2; AGENTS.md:1; README.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Tracker.DebugHost/README.md:1; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
synonym:エビデンス	9	evidence(8,english); 証明(1,japanese)	proof | あかし | エビデンス | プルーフ | 裏付け | 証 | 証拠	Tracker/Tracker.DebugHost/README.md:4; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Design/Archive/DebugHost/phases-status.md:1
synonym:メインテナンス	9	maintenance(6,english); 整備(3,japanese)	メインテナンス | メンテ | メンテナンス	Tracker/Design/Core/tracker-history-000-038.md:6; Tracker/Design/tasks-status.md:2; Tracker/Design/phases-status.md:1
synonym:仕分け	9	色分け(5,japanese); 分類(4,japanese)	仕分け | 類別	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:6; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2; feedback-points/feedback-points.md:1
synonym:原因	9	原因(8,japanese); 起因(1,japanese)	きっかけ | 引き金	Tracker/Design/Core/tracker-history-000-038.md:5; Tracker/Design/Archive/Core/tasks-status.md:1; Tracker/Design/phases-status.md:1; Tracker/Design/tasks-status.md:1; Tracker/Design/Core/tracker-architecture-plan.md:1
synonym:アルゴリズム	8	アルゴリズム(5,katakana); algorithm(3,english)		Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; Tracker/Design/RuntimeHost/runtime-host-plan.md:2; Tracker/Design/Core/tracker-core-engine-detail-design.md:1
synonym:プロジェクション	8	投影(5,japanese); projection(3,english)	プロジェクション	Tracker/Design/Archive/DebugHost/tasks-status.md:2; Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1
synonym:ページ	8	page(6,english); ページ(2,katakana)		Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; Tracker/Tracker.DebugHost/README.md:1
synonym:メタ	8	meta(4,english); メタ(4,katakana)		Tracker/Design/Core/tracker-core-engine-detail-design.md:4; Tracker/Design/Core/tracker-architecture-plan.md:4
synonym:パラメタ	7	parameter(5,english); パラメータ(1,katakana); 変数(1,japanese)	パラメタ	Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Tracker.DebugHost/README.md:1; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
synonym:リスク	7	リスク(6,katakana); risk(1,english)	危険性	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:2; Tracker/Design/DebugHost/debug-host-maintainability-design.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Tracker.DebugHost/README.md:1
synonym:サイズ	6	size(4,english); サイズ(2,katakana)	大きさ	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Tracker.DebugHost/README.md:1
synonym:タイトル	6	題名(4,japanese); title(2,english)	タイトル	Tracker/Design/tasks-status.md:4; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2
synonym:デュープ	6	duplicate(3,english); 複製(2,japanese); 複写(1,japanese)	dupe | デュープ | デュープリケート | 写し | 副本	Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1; Tracker/Design/tasks-status.md:1; tools/lint/README.md:1
synonym:ネーミング	6	命名(5,japanese); naming(1,english)	ネーミング | 名付け	Tracker/Design/tasks-status.md:2; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Design/Core/tracker-architecture-plan.md:1
synonym:ノーマライズ	6	正規化(4,japanese); normalize(2,english)	ノーマライズ	Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/Core/tracker-core-engine-detail-design.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
synonym:リポジトリ	6	repository(4,english); リポジトリ(2,katakana)	レポジトリ | レポジトリー	README.md:3; Tracker/Tracker.DebugHost/README.md:2; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
synonym:ロジック	6	logic(4,english); ロジック(2,katakana)	論理	Tracker/Design/RuntimeHost/runtime-host-plan.md:4; Tracker/Design/Core/tracker-architecture-plan.md:1; README.md:1
synonym:アンノウン	5	unknown(3,english); 未知(2,japanese)	アンノウン	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Tracker.DebugHost/README.md:1
synonym:コスト	5	コスト(4,katakana); cost(1,english)	出費 | 支出 | 経費 | 費用	Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Tracker.DebugHost/README.md:1
synonym:スコープ	5	スコープ(3,katakana); scope(2,english)		Tracker/Design/DebugHost/raw-vision-viewer-plan.md:3; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Design/Core/tracker-architecture-plan.md:1
synonym:ドメイン	5	domain(4,english); ドメイン(1,katakana)		Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/Core/tracker-core-engine-detail-design.md:1; Tracker/Design/Core/tracker-history-000-038.md:1; README.md:1
synonym:プライオリティ	5	優先度(2,japanese); 優先順位(2,japanese); 重要度(1,japanese)	priority | プライオリティ | プライオリティー | 優先順	Tracker/Design/Core/tracker-architecture-plan.md:5
synonym:レイアウト	5	layout(4,english); レイアウト(1,katakana)		Tracker/Design/DebugHost/raw-vision-viewer-plan.md:3; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1
synonym:自分	5	自身(4,japanese); 自分(1,japanese)	自分自身 | 自己	Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1
synonym:アングル	4	角度(3,japanese); angle(1,english)	アングル	Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/Core/tracker-core-engine-detail-design.md:1
synonym:ウォーニング	4	warning(2,english); 警告(2,japanese)	ウォーニング | ウオーニング | ワーニング | 注意	Tracker/Design/tasks-status.md:2; Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
synonym:エッセンス	4	要素(2,japanese); 本質(1,japanese); 要因(1,japanese)	essence | factor | エッセンス | ファクタ | ファクター | 因子 | 真髄	Tracker/Design/Core/tracker-architecture-plan.md:3; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:1
synonym:カウンタ	4	カウンタ(3,katakana); counter(1,english)		Tracker/Tracker.DebugHost/README.md:3; Tracker/Design/Core/tracker-architecture-plan.md:1
synonym:テキスト	4	本文(3,japanese); text(1,english)	テキスト	Tracker/Design/Archive/Core/tasks-status.md:1; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; feedback-points/feedback-points.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1
synonym:バックグラウンド	4	background(3,english); 背景(1,japanese)	バックグラウンド | バックグランド	Tracker/Design/DebugHost/raw-vision-viewer-plan.md:4
synonym:ビジュアライゼーション	4	可視化(3,japanese); visualization(1,english)	ビジュアライゼーション | 見える化	README.md:1; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
synonym:マージン	4	margin(2,english); マージン(1,katakana); 余白(1,japanese)		Tracker/Design/Core/tracker-architecture-plan.md:2; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Tracker.DebugHost/README.md:1
synonym:代り	4	代わり(2,japanese); 代替(2,japanese)	かわり | 代り | 代替え | 替り | 替わり	Tracker/Tracker.CaptureReplay/README.md:1; Tracker/Tracker.DebugHost/README.md:1; Tracker/Design/Archive/DebugHost/tasks-status.md:1; Tracker/Design/tasks-status.md:1
synonym:インストール	3	環境構築(2,japanese); インストール(1,katakana)	install | setup | セットアップ	Tracker/Design/tasks-status.md:2; tools/lint/README.md:1
synonym:コンテキスト	3	context(1,english); コンテキスト(1,katakana); 文脈(1,japanese)	コンテクスト | 前後関係	Tracker/Tracker.DebugHost/README.md:1; Tracker/Design/Core/tracker-architecture-plan.md:1; Tracker/Design/Core/tracker-history-000-038.md:1
synonym:サポ	3	support(2,english); 支援(1,japanese)	サポ | サポート | 力添え | 後押し | 後援 | 応援 | 扶助 | 援助	Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2; README.md:1
synonym:ヘッダ	3	header(2,english); ヘッダー(1,katakana)	ヘッダ	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Tracker.DebugHost/README.md:1
synonym:メモ	3	メモ(2,katakana); 覚書(1,japanese)	memo | memorandum | メモランダム | メモ書き | 備忘録	Tracker/Design/tasks-status.md:2; Tracker/Design/Core/tracker-architecture-plan.md:1
synonym:フラグ	2	flag(1,english); フラグ(1,katakana)	フラッグ	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/Core/tracker-architecture-plan.md:1
synonym:フロー	2	フロー(1,katakana); 流れ(1,japanese)	flow	Tracker/Design/Core/tracker-architecture-plan.md:2
synonym:ブランク	2	空欄(1,japanese); 空白(1,japanese)	blank | ブランク	feedback-points/feedback-points.md:1; tools/lint/README.md:1
synonym:プレフィクス	2	prefix(1,english); 接頭辞(1,japanese)	プレフィクス | プレフィックス | 接頭語	Tracker/Tracker.DebugHost/README.md:1; tools/lint/README.md:1
synonym:リリース	2	release(1,english); 解放(1,japanese)	リリース	Tracker/Design/Core/tracker-history-000-038.md:1; Tracker/Design/Core/tracker-architecture-plan.md:1
synonym:何時も	2	常時(1,japanese); 毎回(1,japanese)	いつも | 何時も | 普段 | 毎度	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:1; Tracker/Design/Core/tracker-architecture-plan.md:1
